"Age1" "Age2" "Age3" "Age4" "Age5" "Age6" "Age7" "Age8" "Sim"
8073498.53897 2933585.676928 2516850.685693 4104578.597567 2081827.167423 979096.571853 208213.044875 589249.781391 2
6429506.080262 3591497.625174 1530847.062324 1450362.346134 2517190.978298 1312216.514377 632324.069016 526577.451053 2
8303339.239238 2860141.625731 1871883.422121 878372.762148 884477.85055 1573783.181824 840596.52126 757296.803731 2
6453600.494323 3693695.075632 1489920.92682 1072066.938732 534370.720026 551059.899022 1004639.159841 1040685.031942 2
8933834.96229 2870838.626239 1923200.998723 851838.168614 650744.168331 331849.264963 350631.048648 1328136.582265 2
13232779.484322 3974157.529822 1494973.955801 1100106.747694 517400.740222 404498.169915 211349.143486 1093631.958896 2
9350019.678147 5886482.507498 2067981.872837 852907.276104 665913.892986 320021.149044 256343.052473 846242.385104 2
9160571.881384 4159264.695772 3062355.19612 1178839.592239 515722.546395 411235.004716 202490.212231 713469.878545 2
11611907.933689 4075069.659256 2169520.669926 1762049.67293 721518.783118 324144.237012 264829.046781 603295.695402 2
4516464.102692 5165548.320404 2125866.909907 1248867.833125 1079092.234064 453866.900461 208916.398687 571873.012661 2
12884745.416661 2009144.342443 2694516.416952 1223374.25063 764519.212704 678414.685947 292360.3959 514208.004279 2
14385383.977269 5731718.453297 1046860.742503 1544488.468537 745062.593764 477068.646716 433751.578315 526827.660685 2
18367750.273991 6399251.39887 2985287.568254 599196.524823 938872.05987 463669.878759 304193.797928 625275.044418 2
9143564.090021 8170807.970295 3334349.228789 1711215.189854 364940.230231 585904.006469 296471.050738 607314.211565 2
3536508.470046 4067472.638774 4257543.260344 1911491.979219 1042348.599442 227783.790597 374697.588319 590639.149874 2
6604117.339606 1573204.427842 2120313.893866 2444339.918668 1166582.684951 652414.719074 146078.713404 632316.122137 2
12625923.256529 2937819.407369 820051.575721 1217120.981026 1491471.273152 729955.208888 418271.036301 510539.490929 2
23240092.412957 5616574.596672 1530446.4899 469727.142481 740589.340646 929485.368228 466097.992644 605453.602663 2
8058283.319706 10338229.074554 2925855.642334 876559.358976 285782.470811 461452.691671 593397.401437 698462.1522 2
2909962.621479 3584685.964618 5385996.061323 1676301.638475 533517.21805 178173.082315 294772.555102 842395.837193 2
8807800.797338 1294468.064308 1864818.267857 3069894.660032 1013446.123599 329401.121276 112712.499924 735527.627423 2
17435547.602384 3918066.589913 673490.006581 1063374.463384 1857044.382519 626238.945132 208553.669496 549666.328615 2
6345618.574433 7756011.938145 2037575.081999 383425.719826 641910.0904 1144041.136153 395287.231123 489278.97068 2
10764181.36692 2822793.207445 4036299.753128 1162879.679013 232200.759388 397296.240863 725496.380079 572675.798327 2
75233113.439958 4788348.216219 1468831.696037 2302612.948746 703846.752293 143600.984938 251745.429594 839016.219492 2
18430808.433513 33466796.567506 2491907.263905 838296.136971 1394469.096489 435638.664984 91066.591547 707417.024945 2
4930460.053375 8198853.577433 17436374.109471 1427938.256844 510348.077828 869687.235225 278377.401156 522308.577854 2
9306359.43871 2193312.485929 4277444.812937 10039584.694727 874760.16342 321180.387236 560788.353643 527511.165721 2
18293343.362064 4139938.606259 1144642.328933 2465651.017265 6159282.813223 551685.506789 207541.499923 717544.121776 2
8870933.869897 8137709.791306 2157177.677726 656181.46493 1501863.780575 3844302.567806 352803.062699 605047.296183 2
9896426.645333 3946184.046456 4238789.87423 1235099.238094 399045.293527 935195.588249 2452690.919307 624286.433648 2
8522327.72745 4402338.914608 2053607.067111 2419054.393577 747931.071618 246961.689694 593011.615675 1986262.534041 2
7227396.301671 3791109.580548 2293181.471865 1175945.529839 1471343.464733 465838.324913 157600.13442 1683339.007503 2
5392354.907411 3215062.963788 1974485.849619 1312413.287252 714736.940595 915459.820031 296970.831129 1201631.561843 2
41090785.349508 2398737.243105 1672680.664857 1125761.211787 793769.900752 441547.293372 579460.239631 970351.96391 2
4155276.459553 18278690.018375 1246572.505169 949901.541343 677364.327733 486707.121576 277398.211769 994596.50397 2
8345651.274207 1848422.734159 9501286.959502 708508.836459 572171.391858 415986.023008 306250.970806 818622.540873 2
32690365.159951 3712491.554546 961978.671833 5423397.463754 429156.784806 354237.382035 263876.274914 729497.388082 2
13067832.593487 14541865.226769 1929131.412125 546128.535601 3261897.041858 262985.74524 222414.94777 637681.624987 2
7595384.733882 5813075.503473 7561310.948558 1097697.940438 329446.311372 2007508.710215 165833.686065 554541.651677 2
23931740.729629 3378727.503476 3023553.738758 4307192.027731 663120.504575 203174.939797 1268516.978939 465525.793713 2
14943971.934741 10645763.003996 1756888.448998 1720633.316474 2598654.767489 408200.215918 128145.768128 1113978.22283 2
7944426.564241 6647672.601072 5537507.521451 1000996.386745 1039720.602166 1603268.00882 258038.272513 803836.271278 2
2939365.171523 3533989.28291 3456874.781709 3151855.161659 604077.540327 640251.779437 1011564.610752 685112.438111 2
4008298.931772 1307543.933573 1837761.729135 1967753.638563 1902270.163213 372043.018773 404021.634023 1091723.059921 2
4927501.875756 1783045.187323 679848.487633 1045527.727864 1186761.01928 1170357.306197 234526.968577 963968.981406 2
6502654.804442 2191922.603277 925967.971367 385135.253779 627084.18021 724315.889592 731874.416625 766693.683422 2
25648449.712446 2892663.660314 1141463.291652 529722.138509 233958.005906 389862.422966 461388.644169 974213.768366 2
6864509.94049 11409475.996724 1505122.557951 651076.742384 320555.946453 144645.429342 246962.798228 929351.956212 2
6844162.042393 3053606.912005 5934784.797342 857563.600141 393430.941809 197775.724641 91438.105128 760612.076899 2
32670561.412317 3044611.00008 1592336.069296 3411329.493859 524181.11509 246804.553354 127119.154518 560635.236517 2
16862281.468616 14533447.741609 1587907.833763 915814.234401 2086744.760981 329188.9141 158807.26074 452747.288055 2
11789184.625385 7501180.722142 7582824.949929 914523.185687 561215.920454 1313890.428248 212367.656302 403386.1413 2
8036367.772165 5244404.944661 3912701.65027 4363079.878683 559740.924616 352737.24391 846123.660262 405158.645904 2
7557644.81724 3574976.8956 2736389.393651 2253794.773377 2674265.685982 352537.699207 227626.687336 822820.110498 2
4125524.787517 3362015.956765 1865242.758689 1575964.502181 1381133.925233 1683808.420259 227429.631065 693120.950446 2
10228041.886447 1835229.340123 1752946.868475 1071687.416614 962763.039783 865704.443947 1081383.868392 604535.447173 2
6312523.612201 4549907.914536 956573.535506 1006012.660311 653721.354665 602162.211764 554775.267557 1101246.358366 2
14320173.991388 2808089.822225 2369955.865266 547680.266749 611775.810454 407053.022886 384171.520421 1079582.221426 2
13083036.616313 6370253.342143 1462875.147574 1357550.821334 333261.832155 381277.678413 259928.212237 955659.758268 2
