"TotalBio" "Sim"
974302.269380205 6
1175484.16871387 6
1055813.9270955 6
979448.402046728 6
1286890.83878753 6
1565877.68121188 6
1594125.88682688 6
1767330.63256898 6
1855551.23453152 6
1662362.37732964 6
1616068.34031099 6
1476544.52603114 6
1750095.99208855 6
2279760.44362318 6
2155410.98783191 6
1962274.94407909 6
2078282.59038458 6
2075666.83151722 6
2070813.76688437 6
1981015.52047035 6
1858466.95545672 6
1856565.44747571 6
1693841.68226157 6
1487026.22708766 6
1262570.09057548 6
1050214.88480083 6
908096.424575986 6
867493.557166743 6
1034497.74978297 6
1028309.53476068 6
955503.183530115 6
934584.829968797 6
973156.590826561 6
897228.726034534 6
800786.804640023 6
1040612.10444295 6
1190305.15493543 6
1097822.74474491 6
2353378.8013327 6
2722806.50520366 6
3079511.38337074 6
3137026.97385601 6
2886731.61261247 6
3026207.98158178 6
2740398.38269972 6
2527446.06404062 6
2381471.73988053 6
2119689.71099711 6
1744185.34693885 6
1772773.86826062 6
1693826.26027945 6
2353453.08900726 6
2141963.17880692 6
1944060.81311709 6
1694194.93714774 6
692035.870723111 7
644837.227698572 7
549101.423995292 7
612247.082212079 7
616587.79878324 7
624122.97767627 7
592109.235100594 7
536783.306206303 7
540654.749982399 7
745709.743988318 7
689791.302233526 7
708995.678184354 7
722082.790857781 7
654268.320614647 7
645080.931468414 7
700022.202975339 7
655019.905838609 7
612969.522197976 7
578199.495783969 7
650427.84665798 7
846495.286695466 7
860275.365562853 7
876873.104293198 7
820349.284779243 7
925233.987026795 7
900950.974776703 7
874239.886203191 7
753679.984983606 7
698293.757802365 7
747585.644883547 7
672996.44215608 7
616190.446577353 7
669915.924342992 7
666066.384340671 7
814479.257514048 7
728473.467704971 7
715779.206588961 7
681078.206488801 7
712909.135354097 7
705776.365753777 7
698650.34136666 7
706928.131811619 7
763351.89689796 7
709835.105461104 7
618219.955812501 7
753760.133938928 7
676457.513874893 7
793379.516784873 7
743850.002994722 7
790124.347782863 7
712457.817691638 7
727985.046013719 7
701252.813448308 7
665299.621357395 7
599570.712749328 7
606384.419581175 7
868296.910913972 7
1010970.84831258 7
943925.789749456 7
1008655.27026053 7
1099070.91381179 7
1033472.79297659 7
908061.410009842 7
919915.228328145 7
970643.239853957 7
868214.929832728 7
841167.763007258 7
914076.655788208 7
1116323.5060825 7
1052046.58040277 7
970732.986551395 7
1028797.38069086 7
1167087.10097122 7
1061856.31113718 7
1154858.97543107 7
1416981.9107122 7
1302336.690786 7
1216071.29729401 7
1178152.95378388 7
1039442.80834686 7
999941.737748084 7
1187748.03990006 7
1177007.20762049 7
1187119.43577853 7
1520717.96063633 7
1521649.147094 7
1415244.97627098 7
1312618.85291469 7
1115658.74350512 7
1050655.34717179 7
986051.339407954 7
907679.458036736 7
947905.952882888 7
993321.600643692 7
970838.610557656 7
895612.099813429 7
900701.418007759 7
1032785.43008383 7
1043154.15836265 7
1195696.3051244 7
1211014.95166498 7
1189485.45395566 7
1174273.68189197 7
1346784.29215867 7
1397428.52483352 7
1445618.60251756 7
1543343.29492187 7
1483898.98776483 7
1382187.0485402 7
1266666.11645657 7
1211750.14762331 7
1079542.94628984 7
1208356.9711565 7
1229180.66692199 7
1182778.48121765 7
1112291.05635856 7
976108.034665142 7
1238101.33569085 7
1477793.81957234 7
1493149.4301736 7
1415897.92036093 7
1264584.92450105 7
1120777.68068056 7
972524.646680385 7
1075031.26057132 7
1162806.14497555 7
1031855.17146022 7
976385.827340567 7
823158.499110412 7
815112.354276938 7
920780.996476943 7
1199191.31698974 7
1317298.64168962 7
1228583.05765543 7
1251973.58371897 7
1196030.24000353 7
1269727.41629109 7
1216894.70550221 7
1208570.58930732 7
1096665.07413622 7
1031378.21311403 7
1043524.93874757 7
959646.78507479 7
1014900.57575418 7
999429.551631968 7
1191013.20828411 7
1133570.38203541 7
988343.186619797 7
1007877.10464278 7
982996.682708925 7
692035.870723111 8
618939.001179413 8
512491.586037286 8
431676.98630661 8
403386.894779563 8
428198.188832576 8
414335.161509121 8
414200.886378658 8
444789.521546385 8
501137.541053331 8
605185.689958756 8
634903.029760492 8
615674.246053985 8
881318.547300661 8
805263.778355027 8
860639.274763508 8
837855.500907423 8
1019757.69519257 8
1134543.9553718 8
1072807.8112008 8
1027366.65381739 8
903317.820342819 8
1015105.28214891 8
1413134.1292462 8
1403794.84044658 8
1543676.9501114 8
1636247.58625683 8
1689793.57360682 8
1592775.68210174 8
1785268.59006447 8
1769324.05581913 8
1753995.4682824 8
1583332.52693466 8
1372548.31896077 8
1313836.25647855 8
1174148.98705624 8
1043366.35715078 8
982333.628988717 8
820935.194349653 8
838955.226779254 8
801601.220871191 8
871553.36307874 8
1103890.63393316 8
1116364.06765658 8
1463045.75767316 8
1401212.38697905 8
1279322.42316116 8
1412722.76026623 8
1382056.27704878 8
1345807.08755298 8
1453036.6089014 8
1456847.47735252 8
1855909.62311775 8
1802399.37605944 8
1710630.76906254 8
1494328.01269079 8
1419703.58301214 8
1325033.74272036 8
1146650.81231416 8
1073463.46492451 8
1050484.01665982 8
979496.096148326 8
917101.188457581 8
886024.620995862 8
885825.524825708 8
956663.623402254 8
1011288.93283812 8
1008209.65873263 8
1052901.99569626 8
1131034.95888638 8
1070838.83326242 8
988117.862899038 8
943630.565206738 8
897823.716640588 8
919819.218099884 8
858656.317451507 8
889836.500546021 8
1044300.38182059 8
1002097.97268089 8
874959.455401642 8
